fold,pair,order_id,side,pattern,signal_time_utc,signal_time_london,entry_time_utc,entry_time_london,exit_time_utc,exit_time_london,entry,stop,target,exit,exit_reason,gross_r,net_r_after_costs
june_2026,EURUSD,eurusd-1419-bearish_wickless-signal_range,SELL,BEARISH_WICKLESS,2026-06-17T11:00:00+00:00,2026-06-17T12:00:00+01:00,2026-06-17T11:15:00+00:00,2026-06-17T12:15:00+01:00,2026-06-17T12:15:00+00:00,2026-06-17T13:15:00+01:00,1.15915,1.15972,1.15801,1.15972,STOP,-1.0,-1.035088
june_2026,USDJPY,usdjpy-1966-bearish_wickless-signal_range,SELL,BEARISH_WICKLESS,2026-06-25T14:30:00+00:00,2026-06-25T15:30:00+01:00,2026-06-25T14:45:00+00:00,2026-06-25T15:45:00+01:00,2026-06-25T16:45:00+00:00,2026-06-25T17:45:00+01:00,161.678,161.745,161.544,161.745,STOP,-1.0,-1.029851
july_2026,EURUSD,eurusd-1056-bullish_wickless-signal_range,BUY,BULLISH_WICKLESS,2026-07-14T11:30:00+00:00,2026-07-14T12:30:00+01:00,2026-07-14T11:45:00+00:00,2026-07-14T12:45:00+01:00,2026-07-14T12:15:00+00:00,2026-07-14T13:15:00+01:00,1.14013,1.1395,1.14139,1.14139,TARGET,2.0,1.968254
july_2026,USDCAD,usdcad-1042-bearish_wickless-signal_range,SELL,BEARISH_WICKLESS,2026-07-14T14:00:00+00:00,2026-07-14T15:00:00+01:00,2026-07-14T14:15:00+00:00,2026-07-14T15:15:00+01:00,2026-07-14T15:45:00+00:00,2026-07-14T16:45:00+01:00,1.40564,1.40702,1.40288,1.40702,STOP,-1.0,-1.014493
july_2026,EURUSD,eurusd-1157-bullish_wickless-signal_range,BUY,BULLISH_WICKLESS,2026-07-15T14:30:00+00:00,2026-07-15T15:30:00+01:00,2026-07-15T14:45:00+00:00,2026-07-15T15:45:00+01:00,2026-07-15T15:30:00+00:00,2026-07-15T16:30:00+01:00,1.14389,1.14322,1.14523,1.14322,STOP,-1.0,-1.029851
july_2026,EURUSD,eurusd-1167-bullish_wickless-signal_range,BUY,BULLISH_WICKLESS,2026-07-15T17:00:00+00:00,2026-07-15T18:00:00+01:00,2026-07-15T17:15:00+00:00,2026-07-15T18:15:00+01:00,2026-07-15T17:30:00+00:00,2026-07-15T18:30:00+01:00,1.14496,1.14418,1.14652,1.14652,TARGET,2.0,1.974359
july_2026,GBPUSD,gbpusd-1450-bearish_wickless-signal_range,SELL,BEARISH_WICKLESS,2026-07-20T14:30:00+00:00,2026-07-20T15:30:00+01:00,2026-07-20T14:45:00+00:00,2026-07-20T15:45:00+01:00,2026-07-20T15:15:00+00:00,2026-07-20T16:15:00+01:00,1.34418,1.34528,1.34198,1.34198,TARGET,2.0,1.981818
july_2026,USDJPY,usdjpy-1550-bullish_wickless-signal_range,BUY,BULLISH_WICKLESS,2026-07-21T14:15:00+00:00,2026-07-21T15:15:00+01:00,2026-07-21T14:30:00+00:00,2026-07-21T15:30:00+01:00,2026-07-21T18:00:00+00:00,2026-07-21T19:00:00+01:00,162.952,162.896,163.064,163.064,TARGET,2.0,1.964286
july_2026,USDJPY,usdjpy-1721-bullish_wickless-signal_range,BUY,BULLISH_WICKLESS,2026-07-23T11:15:00+00:00,2026-07-23T12:15:00+01:00,2026-07-23T11:30:00+00:00,2026-07-23T12:30:00+01:00,2026-07-23T11:30:00+00:00,2026-07-23T12:30:00+01:00,163.421,163.359,163.545,163.545,TARGET,2.0,1.967742
july_2026,EURUSD,eurusd-1883-bearish_wickless-signal_range,SELL,BEARISH_WICKLESS,2026-07-27T14:15:00+00:00,2026-07-27T15:15:00+01:00,2026-07-27T14:30:00+00:00,2026-07-27T15:30:00+01:00,2026-07-27T15:15:00+00:00,2026-07-27T16:15:00+01:00,1.13703,1.13763,1.13583,1.13763,STOP,-1.0,-1.033333
july_2026,GBPUSD,gbpusd-1981-bearish_wickless-signal_range,SELL,BEARISH_WICKLESS,2026-07-28T09:45:00+00:00,2026-07-28T10:45:00+01:00,2026-07-28T10:00:00+00:00,2026-07-28T11:00:00+01:00,2026-07-28T12:15:00+00:00,2026-07-28T13:15:00+01:00,1.32799,1.32886,1.32625,1.32886,STOP,-1.0,-1.022989
july_2026,EURUSD,eurusd-2154-bullish_wickless-signal_range,BUY,BULLISH_WICKLESS,2026-07-30T11:45:00+00:00,2026-07-30T12:45:00+01:00,2026-07-30T12:00:00+00:00,2026-07-30T13:00:00+01:00,2026-07-30T13:30:00+00:00,2026-07-30T14:30:00+01:00,1.14762,1.1465,1.14986,1.14986,TARGET,2.0,1.982143
july_2026,USDCHF,usdchf-2119-bearish_wickless-signal_range,SELL,BEARISH_WICKLESS,2026-07-30T11:45:00+00:00,2026-07-30T12:45:00+01:00,2026-07-30T12:00:00+00:00,2026-07-30T13:00:00+01:00,2026-07-30T13:30:00+00:00,2026-07-30T14:30:00+01:00,0.81252,0.81366,0.81024,0.81024,TARGET,2.0,1.982456
july_2026,EURUSD,eurusd-2168-bullish_wickless-signal_range,BUY,BULLISH_WICKLESS,2026-07-30T15:15:00+00:00,2026-07-30T16:15:00+01:00,2026-07-30T15:30:00+00:00,2026-07-30T16:30:00+01:00,2026-07-30T18:00:00+00:00,2026-07-30T19:00:00+01:00,1.15159,1.15065,1.15347,1.15347,TARGET,2.0,1.978723
july_2026,EURUSD,eurusd-2264-bullish_wickless-signal_range,BUY,BULLISH_WICKLESS,2026-07-31T15:45:00+00:00,2026-07-31T16:45:00+01:00,2026-07-31T16:00:00+00:00,2026-07-31T17:00:00+01:00,2026-07-31T20:15:00+00:00,2026-07-31T21:15:00+01:00,1.15184,1.15086,1.1538,1.1538,TARGET,2.0,1.979592
